;============================ SPDUST.2 ===============================
;
;    Rotational emission from a population of spinning dust grains,
;    as described by Ali-Haimoud, Hirata & Dickinson, 2009, MNRAS, 395, 1055
;    and in Silsbee, Ali-Haimoud & Hirata, 2010
;    for an environment with parameters given below. 
;
;    nH = 0.100000 cm^-3
;    T = 8000.0000 K
;    Chi = 1.0000000
;    xh = 0.990000
;    xC = 0.0010000000
;    mu(1E-7 cm) = 9.1909739 debye (this corresponds to beta = 0.38000000 debye)
;
;Diklike grains are assumed to be randomly 
;
;=====================================================================
;
;nu(GHz)       j_nu/nH(Jy sr-1 cm2/H)     
;
      0.50959197   1.1607083e-23
      0.52933149   1.2851268e-23
      0.54983563   1.4244909e-23
      0.57113402   1.5810477e-23
      0.59325742   1.7573828e-23
      0.61623779   1.9564821e-23
      0.64010833   2.1818013e-23
      0.66490352   2.4373529e-23
      0.69065916   2.7278032e-23
      0.71741248   3.0585913e-23
      0.74520212   3.4360623e-23
      0.77406820   3.8676286e-23
      0.80405245   4.3619591e-23
      0.83519816   4.9292003e-23
      0.86755033   5.5812361e-23
      0.90115569   6.3320015e-23
      0.93606278   7.1978444e-23
      0.97232204   8.1979585e-23
       1.0099858   9.3548889e-23
       1.0491086   1.0695137e-22
       1.0897467   1.2249852e-22
       1.1319591   1.4055680e-22
       1.1758066   1.6155732e-22
       1.2213525   1.8600742e-22
       1.2686627   2.1450428e-22
       1.3178055   2.4775110e-22
       1.3688519   2.8657562e-22
       1.4218757   3.3195283e-22
       1.4769534   3.8503121e-22
       1.5341645   4.4716381e-22
       1.5935918   5.1994484e-22
       1.6553210   6.0525354e-22
       1.7194414   7.0530474e-22
       1.7860455   8.2270993e-22
       1.8552297   9.6054920e-22
       1.9270937   1.1224546e-21
       2.0017414   1.3127102e-21
       2.0792807   1.5363702e-21
       2.1598236   1.7993983e-21
       2.2434863   2.1088280e-21
       2.3303898   2.4729603e-21
       2.4206596   2.9015906e-21
       2.5144261   3.4062761e-21
       2.6118247   4.0006545e-21
       2.7129962   4.7008178e-21
       2.8180866   5.5257486e-21
       2.9272477   6.4978480e-21
       3.0406374   7.6435452e-21
       3.1584193   8.9940078e-21
       3.2807635   1.0585991e-20
       3.4078469   1.2462838e-20
       3.5398530   1.4675637e-20
       3.6769725   1.7284589e-20
       3.8194034   2.0360589e-20
       3.9673515   2.3987084e-20
       4.1210305   2.8262231e-20
       4.2806624   3.3301438e-20
       4.4464778   3.9240163e-20
       4.6187162   4.6237288e-20
       4.7976264   5.4478959e-20
       4.9834669   6.4182939e-20
       5.1765061   7.5603312e-20
       5.3770228   8.9036209e-20
       5.5853067   1.0482561e-19
       5.8016587   1.2337045e-19
       6.0263913   1.4513146e-19
       6.2598291   1.7063868e-19
       6.5023094   2.0049918e-19
       6.7541823   2.3540480e-19
       7.0158118   2.7613897e-19
       7.2875757   3.2358287e-19
       7.5698666   3.7871802e-19
       7.8630924   4.4262901e-19
       8.1676765   5.1649605e-19
       8.4840590   6.0159203e-19
       8.8126968   6.9925950e-19
       9.1540647   8.1088901e-19
       9.5086558   9.3788599e-19
       9.8769823   1.0816274e-18
       10.259576   1.2434054e-18
       10.656990   1.4243602e-18
       11.069799   1.6254197e-18
       11.498598   1.8472251e-18
       11.944006   2.0900590e-18
       12.406668   2.3538018e-18
       12.887252   2.6378797e-18
       13.386452   2.9412623e-18
       13.904988   3.2624918e-18
       14.443611   3.5997440e-18
       15.003097   3.9509143e-18
       15.584256   4.3137825e-18
       16.187927   4.6861269e-18
       16.814981   5.0658879e-18
       17.466325   5.4511383e-18
       18.142899   5.8401694e-18
       18.845681   6.2312585e-18
       19.575685   6.6223433e-18
       20.333968   7.0107972e-18
       21.121623   7.3928401e-18
       21.939788   7.7632724e-18
       22.789646   8.1153403e-18
       23.672424   8.4407489e-18
       24.589397   8.7299146e-18
       25.541890   8.9724650e-18
       26.531278   9.1579484e-18
       27.558992   9.2762711e-18
       28.626515   9.3182815e-18
       29.735389   9.2761452e-18
       30.887217   9.1438304e-18
       32.083662   8.9179137e-18
       33.326452   8.5986604e-18
       34.617383   8.1909433e-18
       35.958319   7.7045316e-18
       37.351197   7.1536234e-18
       38.798030   6.5555881e-18
       40.300908   5.9295413e-18
       41.862000   5.2945184e-18
       43.483563   4.6682409e-18
       45.167939   4.0659243e-18
       46.917561   3.4996035e-18
       48.734956   2.9778914e-18
       50.622749   2.5061229e-18
       52.583668   2.0867824e-18
       54.620545   1.7199744e-18
       56.736322   1.4040200e-18
       58.934055   1.1359390e-18
       61.216920   9.1181970e-19
       63.588214   7.2710641e-19
       66.051362   5.7683064e-19
       68.609922   4.5585102e-19
       71.267591   3.5914075e-19
       74.028206   2.8210607e-19
       76.895757   2.2083327e-19
       79.874385   1.7218039e-19
       82.968393   1.3370302e-19
       86.182250   1.0347192e-19
       89.520598   7.9893870e-20
       92.988261   6.1607608e-20
       96.590247   4.7457365e-20
       100.33176   3.6498747e-20
       104.21820   2.7996226e-20
       108.25519   2.1396991e-20
       112.44855   1.6287984e-20
       116.80435   1.2352454e-20
       121.32888   9.3382876e-21
       126.02866   7.0409118e-21
       130.91050   5.2957984e-21
       135.98144   3.9735592e-21
       141.24880   2.9743174e-21
       146.72021   2.2213613e-21
       152.40355   1.6555408e-21
       158.30704   1.2312105e-21
       164.43921   9.1342962e-22
       170.80891   6.7579229e-22
       177.42535   4.9848437e-22
       184.29809   3.6659212e-22
       191.43704   2.6879707e-22
       198.85253   1.9648110e-22
       206.55527   1.4312428e-22
       214.55638   1.0384775e-22
       222.86742   7.5026714e-23
       231.50039   5.3963034e-23
       240.46777   3.8636017e-23
       249.78251   2.7529075e-23
       259.45807   1.9510822e-23
       269.50841   1.3745810e-23
       279.94807   9.6212345e-24
       290.79211   6.6877239e-24
       302.05621   4.6148679e-24
       313.75664   3.1598247e-24
       325.91029   2.1452591e-24
       338.53473   1.4428918e-24
       351.64818   9.6062881e-25
       365.26960   6.3258169e-25
       379.41865   4.1171509e-25
       394.11578   2.6463599e-25
       409.38222   1.6782896e-25
       425.24002   1.0490436e-25
       441.71208   6.4556707e-26
       458.82220   3.9066933e-26
       476.59510   2.3221798e-26
       495.05645   1.3542015e-26
       514.23292   7.7384612e-27
       534.15220   4.3271796e-27
       554.84308   2.3632942e-27
       576.33544   1.2574778e-27
       598.66032   6.4983660e-28
       621.84998   3.2506575e-28
       645.93791   1.5681530e-28
       670.95891   7.2641411e-29
       696.94912   3.2133432e-29
       723.94609   1.3485322e-29
       751.98880   5.3260997e-30
       781.11778   1.9631455e-30
       811.37510   6.6946240e-31
       842.80446   2.0781244e-31
       875.45127   5.8912931e-32
       909.36268   1.4875475e-32
       944.58768   3.2786611e-33
       981.17715       0.0000000
